DATE,TB3MS
1998-01-31,0.0042
1998-02-28,0.004241666666666667
1998-03-31,0.004191666666666667
1998-04-30,0.004125
1998-05-31,0.004166666666666667
1998-06-30,0.00415
1998-07-31,0.0041333333333333335
1998-08-31,0.004083333333333334
1998-09-30,0.003841666666666667
1998-10-31,0.0032999999999999995
1998-11-30,0.003675
1998-12-31,0.003658333333333333
1999-01-31,0.003616666666666667
1999-02-28,0.0037
1999-03-31,0.0037
1999-04-30,0.003575
1999-05-31,0.00375
1999-06-30,0.0038083333333333337
1999-07-31,0.0037916666666666667
1999-08-31,0.003933333333333333
1999-09-30,0.0038999999999999994
1999-10-31,0.004050000000000001
1999-11-30,0.0042250000000000005
1999-12-31,0.004333333333333334
2000-01-31,0.004433333333333333
2000-02-29,0.004625
2000-03-31,0.0047416666666666675
2000-04-30,0.004716666666666667
2000-05-31,0.004825
2000-06-30,0.0047416666666666675
2000-07-31,0.004966666666666667
2000-08-31,0.005075
2000-09-30,0.005
2000-10-31,0.005091666666666667
2000-11-30,0.005141666666666667
2000-12-31,0.004808333333333333
2001-01-31,0.004291666666666667
2001-02-28,0.004066666666666666
2001-03-31,0.003683333333333333
2001-04-30,0.003225
2001-05-31,0.003016666666666667
2001-06-30,0.0029083333333333335
2001-07-31,0.002925
2001-08-31,0.0028
2001-09-30,0.0022
2001-10-31,0.0018000000000000002
2001-11-30,0.0015583333333333334
2001-12-31,0.0014083333333333333
2002-01-31,0.0013750000000000001
2002-02-28,0.0014333333333333333
2002-03-31,0.0014916666666666665
2002-04-30,0.001425
2002-05-31,0.0014416666666666666
2002-06-30,0.0014166666666666668
2002-07-31,0.0014
2002-08-31,0.0013500000000000003
2002-09-30,0.0013583333333333331
2002-10-31,0.0013166666666666667
2002-11-30,0.001025
2002-12-31,0.0009916666666666665
2003-01-31,0.0009749999999999998
2003-02-28,0.0009749999999999998
2003-03-31,0.0009416666666666666
2003-04-30,0.0009416666666666666
2003-05-31,0.0008916666666666668
2003-06-30,0.0007666666666666667
2003-07-31,0.0007500000000000001
2003-08-31,0.0007916666666666666
2003-09-30,0.0007833333333333333
2003-10-31,0.0007666666666666667
2003-11-30,0.0007750000000000001
2003-12-31,0.0007500000000000001
2004-01-31,0.0007333333333333333
2004-02-29,0.0007750000000000001
2004-03-31,0.0007833333333333333
2004-04-30,0.0007833333333333333
2004-05-31,0.0008500000000000001
2004-06-30,0.0010583333333333332
2004-07-31,0.0011083333333333333
2004-08-31,0.0012333333333333335
2004-09-30,0.0013750000000000001
2004-10-31,0.0014666666666666667
2004-11-30,0.001725
2004-12-31,0.001825
2005-01-31,0.0019416666666666668
2005-02-28,0.0021166666666666664
2005-03-31,0.0022833333333333334
2005-04-30,0.0023166666666666665
2005-05-31,0.0023666666666666667
2005-06-30,0.002475
2005-07-31,0.002683333333333333
2005-08-31,0.0028666666666666667
2005-09-30,0.00285
2005-10-31,0.0030916666666666666
2005-11-30,0.0032333333333333333
2005-12-31,0.003241666666666667
2006-01-31,0.003533333333333333
2006-02-28,0.0036916666666666664
2006-03-31,0.0037583333333333336
2006-04-30,0.003833333333333333
2006-05-31,0.003933333333333333
2006-06-30,0.003991666666666667
2006-07-31,0.004125
2006-08-31,0.0041333333333333335
2006-09-30,0.004008333333333333
2006-10-31,0.0041
2006-11-30,0.004116666666666667
2006-12-31,0.0040416666666666665
2007-01-31,0.00415
2007-02-28,0.004191666666666667
2007-03-31,0.004116666666666667
2007-04-30,0.004058333333333333
2007-05-31,0.003941666666666667
2007-06-30,0.003841666666666667
2007-07-31,0.004016666666666667
2007-08-31,0.0035
2007-09-30,0.003241666666666667
2007-10-31,0.00325
2007-11-30,0.002725
2007-12-31,0.0025
2008-01-31,0.0022916666666666667
2008-02-29,0.0017666666666666666
2008-03-31,0.00105
2008-04-30,0.001075
2008-05-31,0.0014416666666666666
2008-06-30,0.0015500000000000002
2008-07-31,0.0013583333333333331
2008-08-31,0.0014333333333333333
2008-09-30,0.0009416666666666666
2008-10-31,0.0005583333333333333
2008-11-30,0.00015833333333333332
2008-12-31,2.4999999999999998e-05
2009-01-31,0.00010833333333333333
2009-02-28,0.00025
2009-03-31,0.000175
2009-04-30,0.00013333333333333334
2009-05-31,0.00015
2009-06-30,0.00015
2009-07-31,0.00015
2009-08-31,0.00014166666666666668
2009-09-30,9.999999999999999e-05
2009-10-31,5.833333333333334e-05
2009-11-30,4.1666666666666665e-05
2009-12-31,4.1666666666666665e-05
2010-01-31,4.9999999999999996e-05
2010-02-28,9.166666666666667e-05
2010-03-31,0.000125
2010-04-30,0.00013333333333333334
2010-05-31,0.00013333333333333334
2010-06-30,9.999999999999999e-05
2010-07-31,0.00013333333333333334
2010-08-31,0.00013333333333333334
2010-09-30,0.000125
2010-10-31,0.00010833333333333333
2010-11-30,0.00011666666666666668
2010-12-31,0.00011666666666666668
2011-01-31,0.000125
2011-02-28,0.00010833333333333333
2011-03-31,8.333333333333333e-05
2011-04-30,4.9999999999999996e-05
2011-05-31,3.3333333333333335e-05
2011-06-30,3.3333333333333335e-05
2011-07-31,3.3333333333333335e-05
2011-08-31,1.6666666666666667e-05
2011-09-30,8.333333333333334e-06
2011-10-31,1.6666666666666667e-05
2011-11-30,8.333333333333334e-06
2011-12-31,8.333333333333334e-06
2012-01-31,2.4999999999999998e-05
2012-02-29,7.5e-05
2012-03-31,6.666666666666667e-05
2012-04-30,6.666666666666667e-05
2012-05-31,7.5e-05
2012-06-30,7.5e-05
2012-07-31,8.333333333333333e-05
2012-08-31,8.333333333333333e-05
2012-09-30,9.166666666666667e-05
2012-10-31,8.333333333333333e-05
2012-11-30,7.5e-05
2012-12-31,5.833333333333334e-05
2013-01-31,5.833333333333334e-05
2013-02-28,8.333333333333333e-05
2013-03-31,7.5e-05
2013-04-30,4.9999999999999996e-05
2013-05-31,3.3333333333333335e-05
2013-06-30,4.1666666666666665e-05
2013-07-31,3.3333333333333335e-05
2013-08-31,3.3333333333333335e-05
2013-09-30,1.6666666666666667e-05
2013-10-31,4.1666666666666665e-05
2013-11-30,5.833333333333334e-05
2013-12-31,5.833333333333334e-05
2014-01-31,3.3333333333333335e-05
2014-02-28,4.1666666666666665e-05
2014-03-31,4.1666666666666665e-05
2014-04-30,2.4999999999999998e-05
2014-05-31,2.4999999999999998e-05
2014-06-30,3.3333333333333335e-05
2014-07-31,2.4999999999999998e-05
2014-08-31,2.4999999999999998e-05
2014-09-30,1.6666666666666667e-05
2014-10-31,1.6666666666666667e-05
2014-11-30,1.6666666666666667e-05
2014-12-31,2.4999999999999998e-05
2015-01-31,2.4999999999999998e-05
2015-02-28,1.6666666666666667e-05
2015-03-31,2.4999999999999998e-05
2015-04-30,1.6666666666666667e-05
2015-05-31,1.6666666666666667e-05
2015-06-30,1.6666666666666667e-05
2015-07-31,2.4999999999999998e-05
2015-08-31,5.833333333333334e-05
2015-09-30,1.6666666666666667e-05
2015-10-31,1.6666666666666667e-05
2015-11-30,9.999999999999999e-05
2015-12-31,0.00019166666666666667
2016-01-31,0.00021666666666666666
2016-02-29,0.00025833333333333334
2016-03-31,0.00024166666666666664
2016-04-30,0.00019166666666666667
2016-05-31,0.00022500000000000002
2016-06-30,0.00022500000000000002
2016-07-31,0.00025
2016-08-31,0.00025
2016-09-30,0.00024166666666666664
2016-10-31,0.000275
2016-11-30,0.00037500000000000006
2016-12-31,0.00042500000000000003
2017-01-31,0.00042500000000000003
2017-02-28,0.0004333333333333333
2017-03-31,0.0006166666666666667
2017-04-30,0.0006666666666666666
2017-05-31,0.0007416666666666666
2017-06-30,0.0008166666666666666
2017-07-31,0.0008916666666666668
2017-08-31,0.0008416666666666667
2017-09-30,0.0008583333333333333
2017-10-31,0.0008916666666666668
2017-11-30,0.001025
2017-12-31,0.0011
2018-01-31,0.001175
2018-02-28,0.0013083333333333334
2018-03-31,0.0014166666666666668
2018-04-30,0.0014666666666666667
2018-05-31,0.0015500000000000002
2018-06-30,0.0015833333333333333
2018-07-31,0.0016333333333333332
2018-08-31,0.0016916666666666666
2018-09-30,0.0017749999999999999
2018-10-31,0.001875
2018-11-30,0.0019416666666666668
2018-12-31,0.001975
2019-01-31,0.001975
2019-02-28,0.0019916666666666668
2019-03-31,0.002
2019-04-30,0.001983333333333333
2019-05-31,0.001958333333333333
2019-06-30,0.0018083333333333335
2019-07-31,0.00175
2019-08-31,0.001625
2019-09-30,0.001575
2019-10-31,0.0013750000000000001
2019-11-30,0.0012833333333333334
2019-12-31,0.0012833333333333334
2020-01-31,0.0012666666666666666
2020-02-29,0.0012666666666666666
2020-03-31,0.00024166666666666664
2020-04-30,0.00011666666666666668
2020-05-31,0.00010833333333333333
2020-06-30,0.00013333333333333334
2020-07-31,0.00010833333333333333
2020-08-31,8.333333333333333e-05
2020-09-30,9.166666666666667e-05
2020-10-31,8.333333333333333e-05
2020-11-30,7.5e-05
2020-12-31,7.5e-05
2021-01-31,6.666666666666667e-05
2021-02-28,3.3333333333333335e-05
2021-03-31,2.4999999999999998e-05
2021-04-30,1.6666666666666667e-05
2021-05-31,1.6666666666666667e-05
2021-06-30,3.3333333333333335e-05
2021-07-31,4.1666666666666665e-05
2021-08-31,4.1666666666666665e-05
2021-09-30,3.3333333333333335e-05
2021-10-31,4.1666666666666665e-05
2021-11-30,4.1666666666666665e-05
2021-12-31,4.9999999999999996e-05
2022-01-31,0.000125
2022-02-28,0.000275
2022-03-31,0.00036666666666666667
2022-04-30,0.0006333333333333333
2022-05-31,0.0008166666666666666
2022-06-30,0.0012416666666666667
2022-07-31,0.0018583333333333334
2022-08-31,0.002191666666666667
2022-09-30,0.0026083333333333336
2022-10-31,0.0031000000000000003
2022-11-30,0.0034583333333333337
2022-12-31,0.003541666666666667
2023-01-31,0.0037833333333333334
2023-02-28,0.0038750000000000004
2023-03-31,0.003908333333333334
2023-04-30,0.0041
2023-05-31,0.004283333333333333
2023-06-30,0.0043
2023-07-31,0.0043749999999999995
2023-08-31,0.004416666666666667
2023-09-30,0.004433333333333333
2023-10-31,0.00445
2023-11-30,0.004391666666666666
2023-12-31,0.004366666666666667
2024-01-31,0.00435
2024-02-29,0.004366666666666667
2024-03-31,0.004366666666666667
2024-04-30,0.004366666666666667
2024-05-31,0.0043749999999999995
2024-06-30,0.004366666666666667
2024-07-31,0.004333333333333334
2024-08-31,0.004208333333333333
2024-09-30,0.003933333333333333
2024-10-31,0.0037583333333333336
2024-11-30,0.003683333333333333
2024-12-31,0.003558333333333333
2025-01-31,0.0035083333333333334
2025-02-28,0.003516666666666666
2025-03-31,0.0035
2025-04-30,0.0035083333333333334
2025-05-31,0.003541666666666667
2025-06-30,0.0035250000000000004
2025-07-31,0.003541666666666667
2025-08-31,0.0034333333333333334
2025-09-30,0.0032666666666666664
2025-10-31,0.003183333333333333
2025-11-30,0.00315
2025-12-31,0.0029916666666666668
2026-01-31,0.0029749999999999998
2026-02-28,0.0030000000000000005
2026-03-31,0.0030083333333333333
2026-04-30,0.0030083333333333333
2026-05-31,0.0030000000000000005
