Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,SPY
1998-01-31,,,,,,,,,,60.322505950927734
1998-02-28,,,,,,,,,,64.50252532958984
1998-03-31,,,,,,,,,,67.64918518066406
1998-04-30,,,,,,,,,,68.5145034790039
1998-05-31,,,,,,,,,,67.09156799316406
1998-06-30,,,,,,,,,,69.94783782958984
1998-07-31,,,,,,,,,,69.00259399414062
1998-08-31,,,,,,,,,,59.26084899902344
1998-09-30,,,,,,,,,,63.03217697143555
1998-10-31,,,,,,,,,,68.14286804199219
1998-11-30,,,,,,,,,,71.93721008300781
1998-12-31,6.018315315246582,5.755894184112549,11.223313331604004,15.226346015930176,12.13840389251709,14.332375526428223,5.911737442016602,17.43966293334961,9.621111869812012,76.64346313476562
1999-01-31,5.795252323150635,5.378331184387207,11.417853355407715,15.061687469482422,14.068449974060059,14.142705917358398,5.76508903503418,18.278106689453125,10.115981101989746,79.3432846069336
1999-02-28,5.885336875915527,5.332097053527832,11.597417831420898,15.197287559509277,12.673235893249512,13.994280815124512,5.606223106384277,18.299068450927734,10.052690505981445,76.7988510131836
1999-03-31,5.991207599639893,6.085907459259033,11.973305702209473,15.516505241394043,13.615007400512695,13.977684020996094,5.252542972564697,18.781179428100586,10.541726112365723,79.98355865478516
1999-04-30,7.471799373626709,6.986805438995361,12.81353759765625,17.84981918334961,13.696390151977539,13.490273475646973,5.759960174560547,19.451929092407227,10.81822395324707,83.0208969116211
1999-05-31,6.7917609214782715,6.836013317108154,12.040822982788086,17.49981689453125,13.742901802062988,13.349852561950684,5.827615737915039,18.854536056518555,10.328584671020508,81.12257385253906
1999-06-30,7.184248447418213,6.975564002990723,12.563211441040039,18.57345199584961,15.062542915344238,13.585591316223145,6.0675740242004395,19.68250274658203,10.994305610656738,85.61503601074219
1999-07-31,7.10221529006958,7.107692718505859,11.795889854431152,17.89203643798828,14.888139724731445,13.0796537399292,6.086137771606445,19.095590591430664,10.17520809173584,82.95909118652344
1999-08-31,6.782722473144531,7.185415744781494,11.276808738708496,18.038061141967773,15.411347389221191,13.303593635559082,5.795292377471924,18.23618507385254,9.782968521118164,82.52945709228516
1999-09-30,6.570006847381592,6.854954719543457,10.688037872314453,17.94502830505371,15.347402572631836,12.103461265563965,5.942676067352295,17.984651565551758,9.640969276428223,80.68594360351562
1999-10-31,6.725917339324951,6.7534565925598145,12.348602294921875,17.554927825927734,15.812470436096191,13.209063529968262,5.97385835647583,18.896461486816406,10.49588680267334,85.85617065429688
1999-11-30,6.630637168884277,6.7417426109313965,11.805150985717773,17.16481590270996,17.364660263061523,13.250630378723145,5.777432918548584,19.116546630859375,10.501663208007812,87.28575134277344
1999-12-31,7.397872447967529,6.789031982421875,11.522723197937012,18.554641723632812,20.045032501220703,12.288888931274414,5.651120185852051,20.841339111328125,11.498054504394531,92.27059173583984
2000-01-31,6.493255138397217,6.843845367431641,11.181808471679688,17.036991119384766,18.81256675720215,12.397271156311035,5.550710201263428,20.314237594604492,10.069470405578613,87.67672729492188
2000-02-29,5.84088659286499,6.554119110107422,9.984844207763672,16.097015380859375,20.789167404174805,10.946616172790527,4.876088619232178,18.9859619140625,9.508450508117676,86.34171295166016
2000-03-31,6.430189609527588,7.369608402252197,11.808314323425293,18.33782958984375,22.533233642578125,11.35813045501709,5.408737659454346,20.693756103515625,10.854059219360352,94.7094955444336
2000-04-30,6.216574668884277,7.259613037109375,11.922368049621582,18.602745056152344,20.463605880737305,11.960333824157715,5.762784004211426,20.451278686523438,10.628049850463867,91.38330078125
2000-05-31,6.020401954650879,8.112066268920898,12.18848705291748,18.52425193786621,18.335859298706055,12.813446998596191,5.750142574310303,19.903099060058594,10.054347038269043,89.94644927978516
2000-06-30,5.505587100982666,7.665773868560791,11.597333908081055,17.79566764831543,20.161306381225586,13.538847923278809,5.554824352264404,19.945280075073242,9.510387420654297,91.7167739868164
2000-07-31,5.553766250610352,7.373663902282715,12.619729042053223,18.07095718383789,19.09162139892578,13.04423713684082,5.640826225280762,19.650104522705078,9.661343574523926,90.27661895751953
2000-08-31,5.680785179138184,8.178935050964355,13.90153694152832,19.8603572845459,21.033342361450195,12.884952545166016,5.860598087310791,20.345870971679688,9.260733604431152,96.17535400390625
2000-09-30,5.123884677886963,8.313400268554688,14.203754425048828,19.2835693359375,17.254545211791992,13.455710411071777,6.635030746459961,19.607938766479492,9.272076606750488,90.89895629882812
2000-10-31,5.573270320892334,8.087430000305176,14.081305503845215,19.71735191345215,16.2662410736084,14.389781951904297,7.020414352416992,19.903099060058594,9.155658721923828,90.47372436523438
2000-11-30,5.43228816986084,7.663236618041992,13.361934661865234,19.046958923339844,12.929281234741211,14.886266708374023,7.017205238342285,18.089906692504883,8.928665161132812,83.71961975097656
