Date,HYG,IEF,^TNX,^GSPC,LQD
2000-01-31,,,6.666999816894531,1394.4599609375,
2000-02-29,,,6.408999919891357,1366.4200439453125,
2000-03-31,,,6.0229997634887695,1498.5799560546875,
2000-04-30,,,6.214000225067139,1452.4300537109375,
2000-05-31,,,6.284999847412109,1420.5999755859375,
2000-06-30,,,6.01800012588501,1454.5999755859375,
2000-07-31,,,6.0289998054504395,1430.8299560546875,
2000-08-31,,,5.729000091552734,1517.6800537109375,
2000-09-30,,,5.7779998779296875,1436.510009765625,
2000-10-31,,,5.756999969482422,1429.4000244140625,
2000-11-30,,,5.439000129699707,1314.949951171875,
2000-12-31,,,5.110000133514404,1320.280029296875,
2001-01-31,,,5.178999900817871,1366.010009765625,
2001-02-28,,,4.9079999923706055,1239.93994140625,
2001-03-31,,,4.914999961853027,1160.3299560546875,
2001-04-30,,,5.3379998207092285,1249.4599609375,
2001-05-31,,,5.413000106811523,1255.8199462890625,
2001-06-30,,,5.389999866485596,1224.3800048828125,
2001-07-31,,,5.0370001792907715,1211.22998046875,
2001-08-31,,,4.815999984741211,1133.5799560546875,
2001-09-30,,,4.574999809265137,1040.93994140625,
2001-10-31,,,4.263000011444092,1059.780029296875,
2001-11-30,,,4.74399995803833,1139.449951171875,
2001-12-31,,,5.0320000648498535,1148.0799560546875,
2002-01-31,,,5.025000095367432,1130.199951171875,
2002-02-28,,,4.859000205993652,1106.72998046875,
2002-03-31,,,5.406000137329102,1147.3900146484375,
2002-04-30,,,5.091000080108643,1076.9200439453125,
2002-05-31,,,5.043000221252441,1067.1400146484375,
2002-06-30,,,4.823999881744385,989.8200073242188,
2002-07-31,,41.063899993896484,4.465000152587891,911.6199951171875,37.184852600097656
2002-08-31,,42.0989990234375,4.13700008392334,916.0700073242188,38.53750228881836
2002-09-30,,43.57194137573242,3.6070001125335693,815.280029296875,39.139068603515625
2002-10-31,,43.04774475097656,3.9110000133514404,885.760009765625,38.94027328491211
2002-11-30,,42.12825393676758,4.2129998207092285,936.3099975585938,39.19144821166992
2002-12-31,,43.29304885864258,3.818000078201294,879.8200073242188,40.566524505615234
2003-01-31,,43.437278747558594,3.9749999046325684,855.7000122070312,40.59794616699219
2003-02-28,,44.25025177001953,3.696000099182129,841.1500244140625,41.2285270690918
2003-03-31,,44.104061126708984,3.822999954223633,848.1799926757812,41.293033599853516
2003-04-30,,44.15947341918945,3.8570001125335693,916.9199829101562,42.14760208129883
2003-05-31,,45.78384017944336,3.3499999046325684,963.5900268554688,43.75433349609375
2003-06-30,,45.52315902709961,3.5280001163482666,974.5,43.73503494262695
2003-07-31,,43.03133010864258,4.473999977111816,990.3099975585938,41.21177291870117
2003-08-31,,43.28870391845703,4.453999996185303,1008.010009765625,41.772010803222656
2003-09-30,,45.41600036621094,3.937000036239624,995.969970703125,43.65056228637695
2003-10-31,,44.783260345458984,4.301000118255615,1050.7099609375,43.12324523925781
2003-11-30,,45.02573776245117,4.320000171661377,1058.199951171875,43.37031173706055
2003-12-31,,45.3675422668457,4.256999969482422,1111.9200439453125,43.74085998535156
2004-01-31,,46.56441116333008,4.138000011444092,1131.1300048828125,45.20420455932617
2004-02-29,,47.1739616394043,3.9839999675750732,1144.93994140625,45.70500183105469
2004-03-31,,47.78985595703125,3.8369998931884766,1126.2099609375,46.161128997802734
2004-04-30,,45.71148681640625,4.500999927520752,1107.300048828125,44.36909103393555
2004-05-31,,45.45572280883789,4.65500020980835,1120.6800537109375,44.12915802001953
2004-06-30,,45.745323181152344,4.617000102996826,1140.8399658203125,44.181678771972656
2004-07-31,,46.30344009399414,4.474999904632568,1101.719970703125,44.871517181396484
2004-08-31,,47.61505126953125,4.131999969482422,1104.239990234375,46.257362365722656
2004-09-30,,47.7762565612793,4.11899995803833,1114.5799560546875,46.40455627441406
2004-10-31,,48.253997802734375,4.0289998054504395,1130.199951171875,46.95759582519531
2004-11-30,,47.296142578125,4.357999801635742,1173.8199462890625,46.384483337402344
2004-12-31,,47.69420623779297,4.216000080108643,1211.9200439453125,46.84828186035156
2005-01-31,,48.41350555419922,4.132999897003174,1181.27001953125,47.79024124145508
2005-02-28,,47.60548400878906,4.359000205993652,1203.5999755859375,47.16376876831055
2005-03-31,,47.42796325683594,4.495999813079834,1180.5899658203125,46.56526565551758
2005-04-30,,48.592567443847656,4.201000213623047,1156.8499755859375,47.31251907348633
2005-05-31,,49.49633026123047,4.00600004196167,1191.5,47.61460494995117
2005-06-30,,49.737144470214844,3.944999933242798,1191.3299560546875,48.1945915222168
2005-07-31,,48.64966583251953,4.285999774932861,1234.1800537109375,47.79948806762695
2005-08-31,,49.614967346191406,4.019999980926514,1220.3299560546875,48.50651168823242
2005-09-30,,48.7464485168457,4.328000068664551,1228.81005859375,47.60293960571289
2005-10-31,,48.13739013671875,4.559000015258789,1207.010009765625,46.85369110107422
